Product,SKU,Contact ID,Invoice No.,Date,Quantity,Unit Price,Discount,Tax,Price inc. tax,Total
Old layers,179,CO0029,11716,01/01/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Cow Beef/Kg,232,CO0029,11716,01/01/2021,1 Kg,2500,0,0.0000(),2500,2500
Turkey,160,CO0838,11717,01/01/2021,2.5 Kg,2000,0,0.0000(),2000,5000
Chicken Wings,158,CO0577,11718,01/01/2021,1 Kg,1900,0,0.0000(),1900,1900
Titus,161,CO0577,11718,01/01/2021,0.9 Kg,1300,0,0.0000(),1300,1170
Sausage,170,CO0577,11718,01/01/2021,1 Pk(s),600,0,0.0000(),600,600
Sausage,170,CO0001,11719,01/01/2021,1 Pk(s),600,0,0.0000(),600,600
Nigerian Soft chicken,156,CO0001,11720,01/01/2021,2 Kg,1600,0,0.0000(),1600,3200
Old layers,179,CO0001,11721,01/01/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Smoked Oldlayers,205,CO0249,11733,01/02/2021,4 Pc(s),2400,0,0.0000(),2400,9600
Nigerian Soft chicken,156,CO0598,11736,01/02/2021,6.95 Kg,1600,0,0.0000(),1600,11120
Smoked Oldlayers,205,CO0234,11737,01/02/2021,2 Pc(s),2400,0,0.0000(),2400,4800
Ponmo,175,CO0257,11738,01/02/2021,1 Pk(s),500,0,0.0000(),500,500
Panla,162,CO0345,11739,01/02/2021,2.4 Kg,1000,0,0.0000(),1000,2400
Ofada Rice,177,CO0345,11739,01/02/2021,1 Kg,1000,0,0.0000(),1000,1000
Goatmeat - One-Eight,188,CO0001,11743,01/02/2021,1 Pk(s),3000,0,0.0000(),3000,3000
Panla,162,CO1153,11740,01/02/2021,2.5 Kg,1000,0,0.0000(),1000,2500
Old layers,179,CO0001,11741,01/02/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Croaker,165,CO1181,11742,01/02/2021,1.65 Kg,1300,0,0.0000(),1300,2145
Croaker,165,CO0150,11735,01/02/2021,10 Kg,1300,0,0.0000(),1300,13000
Kote,164,CO0001,11744,01/02/2021,1.1 Kg,1000,0,0.0000(),1000,1100
Turkey,160,CO1153,11740,01/02/2021,6 Kg,2000,0,0.0000(),2000,12000
Nigerian Soft chicken,156,CO0150,11735,01/02/2021,5 Kg,1600,0,0.0000(),1600,8000
Panla,162,CO0001,11731,01/02/2021,1.7 Kg,1000,0,0.0000(),1000,1700
Croaker,165,CO0249,11733,01/02/2021,2 Kg,1300,0,0.0000(),1300,2600
Sausage,170,CO0001,11732,01/02/2021,1 Pk(s),600,0,0.0000(),600,600
Nigerian Soft chicken,156,CO0556,11730,01/02/2021,1 Kg,1600,0,0.0000(),1600,1600
Tilapia,163,CO0001,11729,01/02/2021,1.5 Kg,1600,0,0.0000(),1600,2400
Turkey,160,CO0858,11728,01/02/2021,0.85 Kg,2000,0,0.0000(),2000,1700
Nigerian Soft chicken,156,CO0001,11727,01/02/2021,0.5 Kg,1600,0,0.0000(),1600,800
Sausage,170,CO0001,11724,01/02/2021,2 Pk(s),600,0,0.0000(),600,1200
Titus,161,CO0478,11723,01/02/2021,1.7 Kg,1300,0,0.0000(),1300,2210
Turkey,160,CO0001,11722,01/02/2021,1 Kg,2000,0,0.0000(),2000,2000
Old layers,179,CO0194,11734,01/02/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Turkey,160,CO0478,11760,01/03/2021,5 Kg,2000,0,0.0000(),2000,10000
Sausage,170,CO0478,11760,01/03/2021,1 Pk(s),600,0,0.0000(),600,600
Titus,161,CO0858,11759,01/03/2021,0.95 Kg,1300,0,0.0000(),1300,1235
Titus,161,CO0945,11761,01/03/2021,2 Kg,1300,0,0.0000(),1300,2600
Panla,162,CO0001,11754,01/03/2021,5 Kg,1000,0,0.0000(),1000,5000
Cow Beef/Kg,232,CO0036,11755,01/03/2021,1 Kg,2500,0,0.0000(),2500,2500
Turkey,160,CO0858,11759,01/03/2021,1.1 Kg,2000,0,0.0000(),2000,2200
Croaker,165,CO0001,11753,01/03/2021,3.4 Kg,1300,0,0.0000(),1300,4420
Live Catfish,182,CO0001,11762,01/03/2021,2 Kg,1000,0,0.0000(),1000,2000
Turkey,160,CO0672,11757,01/03/2021,1.1 Kg,2000,0,0.0000(),2000,2200
Panla,162,CO0446,11758,01/03/2021,2.2 Kg,1000,0,0.0000(),1000,2200
Kote,164,CO0001,11751,01/03/2021,1 Kg,1000,0,0.0000(),1000,1000
Turkey,160,CO1153,11752,01/03/2021,10 Kg,2000,0,0.0000(),2000,20000
Nigerian Soft chicken,156,CO0493,11746,01/03/2021,2 Kg,1600,0,0.0000(),1600,3200
Turkey,160,CO0493,11746,01/03/2021,2 Kg,2000,0,0.0000(),2000,4000
Old layers,179,CO0224,11747,01/03/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Nigerian Soft chicken,156,CO0001,11745,01/03/2021,1.5 Kg,1600,0,0.0000(),1600,2400
Nigerian Soft chicken,156,CO0001,11749,01/03/2021,0.95 Kg,1600,0,0.0000(),1600,1520
Turkey,160,CO0001,11750,01/03/2021,1.2 Kg,2000,0,0.0000(),2000,2400
Titus,161,CO0001,11756,01/03/2021,0.5 Kg,1300,0,0.0000(),1300,650
Nigerian Soft chicken,156,CO0254,11748,01/03/2021,3.25 Kg,1600,0,0.0000(),1600,5200
Old layers,179,CO1114,11771,01/04/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Turkey,160,CO0001,11775,01/04/2021,1 Kg,2000,0,0.0000(),2000,2000
Nigerian Soft chicken,156,CO0084,11774,01/04/2021,4 Kg,1600,0,0.0000(),1600,6400
Sausage,170,CO0417,11773,01/04/2021,2 Pk(s),600,0,0.0000(),600,1200
Croaker,165,CO0417,11773,01/04/2021,6 Kg,1300,0,0.0000(),1300,7800
Chicken Orobo,157,CO0417,11773,01/04/2021,3 Kg,1600,0,0.0000(),1600,4800
Titus,161,CO0224,11772,01/04/2021,1.2 Kg,1300,0,0.0000(),1300,1560
Panla,162,CO1114,11771,01/04/2021,1.1 Kg,1000,0,0.0000(),1000,1100
Turkey,160,CO0417,11773,01/04/2021,2 Kg,2000,0,0.0000(),2000,4000
Egg Half,206,CO0759,11769,01/04/2021,1 1/2,650,0,0.0000(),650,650
Tilapia,163,CO0095,11770,01/04/2021,1.7 Kg,1600,0,0.0000(),1600,2720
Chicken Breast,168,CO0522,11764,01/04/2021,1 Pk(s),2100,0,0.0000(),2100,2100
Chicken Orobo,157,CO0001,11765,01/04/2021,1 Kg,1600,0,0.0000(),1600,1600
Panla,162,CO0607,11766,01/04/2021,1 Kg,1000,0,0.0000(),1000,1000
Live Catfish,182,CO0522,11763,01/04/2021,2.2 Kg,1000,0,0.0000(),1000,2200
Turkey,160,CO1173,11767,01/04/2021,1 Kg,2000,0,0.0000(),2000,2000
Nigerian Soft chicken,156,CO0287,11768,01/04/2021,9 Kg,1600,0,0.0000(),1600,14400
Cow Beef/Kg,232,CO0287,11768,01/04/2021,1 Kg,2500,0,0.0000(),2500,2500
Titus,161,CO0759,11769,01/04/2021,1.35 Kg,1300,0,0.0000(),1300,1755
Croaker,165,CO0607,11766,01/04/2021,2.3 Kg,1300,0,0.0000(),1300,2990
Ponmo,175,CO0457,11791,01/05/2021,1 Pk(s),500,0,0.0000(),500,500
Titus,161,CO0025,11790,01/05/2021,1.5 Kg,1300,0,0.0000(),1300,1950
Sausage,170,CO0025,11790,01/05/2021,2 Pk(s),600,0,0.0000(),600,1200
Ponmo,175,CO0025,11790,01/05/2021,1 Pk(s),500,0,0.0000(),500,500
Old layers,179,CO0025,11790,01/05/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Chicken - Normal Laps,159,CO0457,11791,01/05/2021,1 Kg,1600,0,0.0000(),1600,1600
Turkey,160,CO0457,11791,01/05/2021,1 Kg,2000,0,0.0000(),2000,2000
Live Catfish,182,CO0457,11791,01/05/2021,2.4 Kg,1000,0,0.0000(),1000,2400
Cow Beef/Kg,232,CO0457,11791,01/05/2021,1 Kg,2500,0,0.0000(),2500,2500
Liver,228,CO0457,11791,01/05/2021,1 Pk(s),1000,0,0.0000(),1000,1000
Saki,230,CO0457,11791,01/05/2021,2 Pk(s),1000,0,0.0000(),1000,2000
Cow Leg/Kg,231,CO0457,11791,01/05/2021,1 Kg,2000,0,0.0000(),2000,2000
Turkey,160,CO0254,11792,01/05/2021,2 Kg,2000,0,0.0000(),2000,4000
Breeder,181,CO0293,11793,01/05/2021,1 Pc(s),6500,0,0.0000(),6500,6500
Nigerian Soft chicken,156,CO0001,11794,01/05/2021,2 Kg,1600,0,0.0000(),1600,3200
Turkey,160,CO0025,11790,01/05/2021,1 Kg,2000,0,0.0000(),2000,2000
Goatmeat - One-Eight,188,CO0457,11791,01/05/2021,1 Pk(s),3000,0,0.0000(),3000,3000
Chicken Orobo,157,CO0656,11789,01/05/2021,1.5 Kg,1600,0,0.0000(),1600,2400
Chicken Orobo,157,CO0436,11778,01/05/2021,3 Kg,1600,0,0.0000(),1600,4800
Kote,164,CO0616,11788,01/05/2021,1.5 Kg,1000,0,0.0000(),1000,1500
Live Catfish,182,CO0616,11788,01/05/2021,0.95 Kg,1000,0,0.0000(),1000,950
Turkey,160,CO0746,11777,01/05/2021,2 Kg,2000,0,0.0000(),2000,4000
Titus,161,CO0258,11776,01/05/2021,1 Kg,1300,0,0.0000(),1300,1300
Turkey,160,CO0436,11778,01/05/2021,3 Kg,2000,0,0.0000(),2000,6000
Croaker,165,CO0436,11778,01/05/2021,2 Kg,1300,0,0.0000(),1300,2600
Goatmeat - One-Eight,188,CO0436,11778,01/05/2021,2 Pk(s),3000,0,0.0000(),3000,6000
Ponmo,175,CO0001,11780,01/05/2021,1 Pk(s),500,0,0.0000(),500,500
Nigerian Soft chicken,156,CO0709,11781,01/05/2021,0.3 Kg,1600,0,0.0000(),1600,480
Turkey,160,CO0602,11779,01/05/2021,2 Kg,2000,0,0.0000(),2000,4000
Croaker,165,CO0709,11781,01/05/2021,0.9 Kg,1300,0,0.0000(),1300,1170
Chicken Breast,168,CO1040,11782,01/05/2021,2 Pk(s),2100,0,0.0000(),2100,4200
Old layers,179,CO0382,11783,01/05/2021,5 Pc(s),2200,0,0.0000(),2200,11000
Nigerian Soft chicken,156,CO0235,11784,01/05/2021,2.2 Kg,1600,0,0.0000(),1600,3520
Nigerian Soft chicken,156,CO0001,11785,01/05/2021,1.6 Kg,1600,0,0.0000(),1600,2560
Turkey,160,CO0478,11786,01/05/2021,5 Kg,2000,0,0.0000(),2000,10000
Sausage,170,CO0042,11787,01/05/2021,1 Pk(s),600,0,0.0000(),600,600
Nigerian Soft chicken,156,CO0616,11788,01/05/2021,2 Kg,1600,0,0.0000(),1600,3200
Titus,161,CO0709,11781,01/05/2021,2.1 Kg,1300,0,0.0000(),1300,2730
Chicken - Normal Laps,159,CO0858,11801,01/06/2021,1.3 Kg,1600,0,0.0000(),1600,2080
Old layers,179,CO0526,11802,01/06/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Chicken Orobo,157,CO0526,11802,01/06/2021,3 Kg,1600,0,0.0000(),1600,4800
Egg,176,CO0858,11801,01/06/2021,1 Crt,1300,0,0.0000(),1300,1300
Turkey,160,CO0858,11801,01/06/2021,1.5 Kg,2000,0,0.0000(),2000,3000
Smoked Oldlayers,205,CO0407,11800,01/06/2021,4 Pc(s),2400,0,0.0000(),2400,9600
Titus,161,CO0858,11801,01/06/2021,2.3 Kg,1300,0,0.0000(),1300,2990
Chicken Breast,168,CO0782,11799,01/06/2021,1 Pk(s),2100,0,0.0000(),2100,2100
Chicken Orobo,157,CO0656,11798,01/06/2021,1.8 Kg,1600,0,0.0000(),1600,2880
Tilapia,163,CO0378,11797,01/06/2021,1.9 Kg,1600,0,0.0000(),1600,3040
Turkey,160,CO0378,11797,01/06/2021,2 Kg,2000,0,0.0000(),2000,4000
Nigerian Soft chicken,156,CO0183,11796,01/06/2021,3 Kg,1600,0,0.0000(),1600,4800
Ponmo,175,CO0401,11795,01/06/2021,1 Pk(s),500,0,0.0000(),500,500
Turkey,160,CO0401,11795,01/06/2021,1 Kg,2000,0,0.0000(),2000,2000
Old layers,179,CO0407,11800,01/06/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Old layers,179,CO0074,11817,01/07/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Nigerian Soft chicken,156,CO0001,11816,01/07/2021,1.1 Kg,1600,0,0.0000(),1600,1760
Palm oil - 2.5 Ltrs,178,CO1182,11815,01/07/2021,1 Keg,2000,0,0.0000(),2000,2000
Turkey,160,CO0816,11814,01/07/2021,1 Kg,2000,0,0.0000(),2000,2000
Sausage,170,CO0816,11814,01/07/2021,1 Pk(s),600,0,0.0000(),600,600
Titus,161,CO0816,11814,01/07/2021,0.4 Kg,1300,0,0.0000(),1300,520
Turkey,160,CO0871,11818,01/07/2021,1 Kg,2000,0,0.0000(),2000,2000
Egg,176,CO0039,11813,01/07/2021,1 Crt,1300,0,0.0000(),1300,1300
Croaker,165,CO1182,11815,01/07/2021,4.5 Kg,1300,0,0.0000(),1300,5850
Nigerian Soft chicken,156,CO0024,11819,01/07/2021,1 Kg,1600,0,0.0000(),1600,1600
Egg Half,206,CO0024,11819,01/07/2021,1 1/2,650,0,0.0000(),650,650
Croaker,165,CO0024,11819,01/07/2021,1 Kg,1300,0,0.0000(),1300,1300
Old layers,179,CO0024,11819,01/07/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Argentina,244,CO0024,11819,01/07/2021,1.7 Kg,1200,0,0.0000(),1200,2040
Nigerian Soft chicken,156,CO0602,11820,01/07/2021,5 Kg,1600,0,0.0000(),1600,8000
Turkey,160,CO0602,11820,01/07/2021,5 Kg,2000,0,0.0000(),2000,10000
Chicken Orobo,157,CO0001,11821,01/07/2021,1 Kg,1600,0,0.0000(),1600,1600
Old layers,179,CO0074,11822,01/07/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Egg,176,CO1131,11823,01/07/2021,2 Crt,1300,0,0.0000(),1300,2600
Titus,161,CO1046,11824,01/07/2021,2 Kg,1300,0,0.0000(),1300,2600
Croaker,165,CO0001,11812,01/07/2021,1 Kg,1300,0,0.0000(),1300,1300
Turkey,160,CO0024,11819,01/07/2021,1 Kg,2000,0,0.0000(),2000,2000
Cow Beef/Kg,232,CO0001,11811,01/07/2021,1 Kg,2500,0,0.0000(),2500,2500
Sausage,170,CO0001,11803,01/07/2021,1 Pk(s),600,0,0.0000(),600,600
Old layers,179,CO0001,11811,01/07/2021,11 Pc(s),2200,0,0.0000(),2200,24200
Cow Leg/Kg,231,CO0001,11811,01/07/2021,1 Kg,2000,0,0.0000(),2000,2000
Turkey,160,CO0001,11803,01/07/2021,2 Kg,2000,0,0.0000(),2000,4000
Turkey,160,CO0714,11804,01/07/2021,1 Kg,2000,0,0.0000(),2000,2000
Old layers,179,CO0714,11804,01/07/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Panla,162,CO0690,11805,01/07/2021,2.1 Kg,1000,0,0.0000(),1000,2100
Croaker,165,CO0690,11805,01/07/2021,1 Kg,1300,0,0.0000(),1300,1300
Egg,176,CO0690,11805,01/07/2021,1 Crt,1300,0,0.0000(),1300,1300
Argentina,244,CO0690,11805,01/07/2021,1 Kg,1200,0,0.0000(),1200,1200
Turkey,160,CO0073,11806,01/07/2021,2 Kg,2000,0,0.0000(),2000,4000
Croaker,165,CO0073,11806,01/07/2021,2.3 Kg,1300,0,0.0000(),1300,2990
Sausage,170,CO0073,11806,01/07/2021,1 Pk(s),600,0,0.0000(),600,600
Sausage,170,CO0714,11804,01/07/2021,1 Pk(s),600,0,0.0000(),600,600
Chicken Orobo,157,CO0656,11807,01/07/2021,2 Kg,1600,0,0.0000(),1600,3200
Shrimps,171,CO0073,11806,01/07/2021,0.5 Kg,3000,0,0.0000(),3000,1500
Panla,162,CO0001,11811,01/07/2021,2 Kg,1000,0,0.0000(),1000,2000
Chicken - Normal Laps,159,CO0001,11811,01/07/2021,3.6 Kg,1600,0,0.0000(),1600,5760
Chicken Wings,158,CO0001,11811,01/07/2021,0.7 Kg,1900,0,0.0000(),1900,1330
Titus,161,CO0001,11811,01/07/2021,2.5 Kg,1300,0,0.0000(),1300,3250
Old layers,179,CO0219,11810,01/07/2021,5 Pc(s),2200,0,0.0000(),2200,11000
Shawarma,195,CO0683,11809,01/07/2021,30 Pc(s),1000,0,0.0000(),1000,30000
Egg,176,CO0039,11808,01/07/2021,1 Crt,1300,0,0.0000(),1300,1300
Chicken Orobo,157,CO0001,11811,01/07/2021,8.4 Kg,1600,0,0.0000(),1600,13440
Tilapia,163,CO0001,11811,01/07/2021,1 Kg,1600,0,0.0000(),1600,1600
Croaker,165,CO0091,11837,01/08/2021,2 Kg,1300,0,0.0000(),1300,2600
Old layers,179,CO0064,11841,01/08/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Old layers,179,CO0091,11837,01/08/2021,3 Pc(s),2200,0,0.0000(),2200,6600
Kote,164,CO0205,11838,01/08/2021,1 Kg,1000,0,0.0000(),1000,1000
Chicken Orobo,157,CO0656,11839,01/08/2021,0.8 Kg,1600,0,0.0000(),1600,1280
Old layers,179,CO0001,11840,01/08/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Chicken Wings,158,CO0064,11841,01/08/2021,1 Kg,1700,0,0.0000(),1700,1700
Turkey,160,CO0494,11846,01/08/2021,5 Kg,2000,0,0.0000(),2000,10000
Cow Beef/Kg,232,CO0432,11843,01/08/2021,1 Kg,2500,0,0.0000(),2500,2500
Turkey,160,CO0027,11844,01/08/2021,1 Kg,2000,0,0.0000(),2000,2000
Egg,176,CO0812,11845,01/08/2021,1 Crt,1300,0,0.0000(),1300,1300
Nigerian Soft chicken,156,CO0602,11847,01/08/2021,2 Kg,1600,0,0.0000(),1600,3200
Turkey,160,CO0602,11847,01/08/2021,2 Kg,2000,0,0.0000(),2000,4000
Sausage,170,CO0001,11848,01/08/2021,1 Pk(s),600,0,0.0000(),600,600
Tilapia,163,CO0091,11837,01/08/2021,1.5 Kg,1500,0,0.0000(),1500,2250
Old layers,179,CO0001,11842,01/08/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Titus,161,CO0933,11836,01/08/2021,1 Kg,1200,0,0.0000(),1200,1200
Turkey,160,CO0432,11843,01/08/2021,1 Kg,2000,0,0.0000(),2000,2000
Tilapia,163,CO0526,11835,01/08/2021,1.5 Kg,1500,0,0.0000(),1500,2250
Croaker,165,CO0001,11825,01/08/2021,2.2 Kg,1300,0,0.0000(),1300,2860
Old layers,179,CO0212,11826,01/08/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Egg,176,CO0526,11835,01/08/2021,1 Crt,1300,0,0.0000(),1300,1300
Chicken Orobo,157,CO0001,11828,01/08/2021,4 Kg,1600,0,0.0000(),1600,6400
Chicken Wings,158,CO0001,11828,01/08/2021,0.8 Kg,1700,0,0.0000(),1700,1360
Turkey,160,CO0001,11828,01/08/2021,6 Kg,2000,0,0.0000(),2000,12000
Croaker,165,CO0001,11828,01/08/2021,16 Kg,1300,0,0.0000(),1300,20800
Tilapia,163,CO0356,11829,01/08/2021,4 Kg,1600,0,0.0000(),1600,6400
Chicken Wings,158,CO0068,11827,01/08/2021,10 Kg,1700,0,0.0000(),1700,17000
Egg Half,206,CO0336,11830,01/08/2021,1 1/2,650,0,0.0000(),650,650
Old layers,179,CO0101,11831,01/08/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Sausage,170,CO0522,11832,01/08/2021,1 Pk(s),600,0,0.0000(),600,600
Old layers,179,CO0522,11832,01/08/2021,1 Pc(s),2200,0,0.0000(),2200,2200
Goatmeat - One-Eight,188,CO0522,11832,01/08/2021,1 Pk(s),3000,0,0.0000(),3000,3000
Cow Leg/Kg,231,CO0522,11832,01/08/2021,1 Kg,2000,0,0.0000(),2000,2000
Sausage,170,CO0001,11833,01/08/2021,1 Pk(s),600,0,0.0000(),600,600
Sausage,170,CO0001,11834,01/08/2021,1 Pk(s),600,0,0.0000(),600,600
Sausage,170,CO0356,11829,01/08/2021,2 Pk(s),600,0,0.0000(),600,1200
Kote,164,CO0168,11862,01/09/2021,2 Kg,1000,0,0.0000(),1000,2000
Egg,176,CO0001,11863,01/09/2021,1 Crt,1300,0,0.0000(),1300,1300
Argentina,244,CO0493,11864,01/09/2021,2 Kg,1200,0,0.0000(),1200,2400
Nigerian Soft chicken,156,CO0463,11865,01/09/2021,2 Kg,1600,0,0.0000(),1600,3200
Argentina,244,CO0001,11866,01/09/2021,3 Kg,1200,0,0.0000(),1200,3600
Egg Half,206,CO0859,11867,01/09/2021,1 1/2,650,0,0.0000(),650,650
Titus,161,CO0859,11867,01/09/2021,1.1 Kg,1200,0,0.0000(),1200,1320
Tilapia,163,CO0859,11867,01/09/2021,1 Kg,1500,0,0.0000(),1500,1500
Live Catfish,182,CO0859,11867,01/09/2021,2.5 Kg,1000,0,0.0000(),1000,2500
Turkey,160,CO0001,11868,01/09/2021,20 Kg,2000,0,0.0000(),2000,40000
Tilapia,163,CO0112,11869,01/09/2021,3.6 Kg,1500,0,0.0000(),1500,5400
Nigerian Soft chicken,156,CO0859,11867,01/09/2021,1 Kg,1600,0,0.0000(),1600,1600
Titus,161,CO0736,11861,01/09/2021,1.5 Kg,1200,0,0.0000(),1200,1800
Old layers,179,CO1183,11859,01/09/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Tilapia,163,CO0326,11858,01/09/2021,3 Kg,1500,0,0.0000(),1500,4500
Cow Beef/Kg,232,CO0952,11860,01/09/2021,1 Kg,2500,0,0.0000(),2500,2500
Nigerian Soft chicken,156,CO0001,11850,01/09/2021,1 Kg,1600,0,0.0000(),1600,1600
Titus,161,CO0115,11851,01/09/2021,1.5 Kg,1200,0,0.0000(),1200,1800
Titus,161,CO0001,11849,01/09/2021,0.5 Kg,1200,0,0.0000(),1200,600
Turkey,160,CO0251,11853,01/09/2021,2.5 Kg,2000,0,0.0000(),2000,5000
Nigerian Soft chicken,156,CO0158,11854,01/09/2021,1 Kg,1600,0,0.0000(),1600,1600
Titus,161,CO0001,11852,01/09/2021,1.5 Kg,1200,0,0.0000(),1200,1800
Kote,164,CO0158,11854,01/09/2021,1 Kg,1000,0,0.0000(),1000,1000
Live Catfish,182,CO0005,11855,01/09/2021,1.8 Kg,1000,0,0.0000(),1000,1800
Ofada Rice,177,CO0001,11856,01/09/2021,2 Kg,1000,0,0.0000(),1000,2000
Nigerian Soft chicken,156,CO0013,11857,01/09/2021,5 Kg,1600,0,0.0000(),1600,8000
Nigerian Soft chicken,156,CO0326,11858,01/09/2021,2.2 Kg,1600,0,0.0000(),1600,3520
Panla,162,CO0158,11854,01/09/2021,2 Kg,1000,0,0.0000(),1000,2000
Nigerian Soft chicken,156,CO0536,11879,01/10/2021,10 Kg,1600,0,0.0000(),1600,16000
Nigerian Soft chicken,156,CO1184,11880,01/10/2021,1.5 Kg,1600,0,0.0000(),1600,2400
Titus,161,CO1184,11880,01/10/2021,1.5 Kg,1200,0,0.0000(),1200,1800
Panla,162,CO0677,11881,01/10/2021,1.7 Kg,1000,0,0.0000(),1000,1700
Ponmo,175,CO0677,11881,01/10/2021,1 Pk(s),500,0,0.0000(),500,500
Egg,176,CO0493,11882,01/10/2021,1 Crt,1300,0,0.0000(),1300,1300
Croaker,165,CO0001,11887,01/10/2021,2 Kg,1300,0,0.0000(),1300,2600
Sausage,170,CO0001,11884,01/10/2021,1 Pk(s),600,0,0.0000(),600,600
Turkey,160,CO0321,11885,01/10/2021,1 Kg,2000,0,0.0000(),2000,2000
Croaker,165,CO0314,11886,01/10/2021,1 Kg,1300,0,0.0000(),1300,1300
Egg Half,206,CO0314,11886,01/10/2021,1 1/2,650,0,0.0000(),650,650
Shawarma,195,CO0683,11888,01/10/2021,14 Pc(s),1000,0,0.0000(),1000,14000
Chicken - Normal Laps,159,CO0518,11878,01/10/2021,1 Kg,1600,0,0.0000(),1600,1600
Nigerian Soft chicken,156,CO0478,11883,01/10/2021,5 Kg,1600,0,0.0000(),1600,8000
Egg,176,CO0001,11877,01/10/2021,1 Crt,1300,0,0.0000(),1300,1300
Nigerian Soft chicken,156,CO0327,11874,01/10/2021,1.5 Kg,1600,0,0.0000(),1600,2400
Nigerian Soft chicken,156,CO0001,11877,01/10/2021,0.45 Kg,1600,0,0.0000(),1600,720
Old layers,179,CO0219,11870,01/10/2021,5 Pc(s),2200,0,0.0000(),2200,11000
Tilapia,163,CO0526,11871,01/10/2021,1.5 Kg,1500,0,0.0000(),1500,2250
Old layers,179,CO0526,11871,01/10/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Egg Half,206,CO0526,11871,01/10/2021,1 1/2,650,0,0.0000(),650,650
Sausage,170,CO0224,11872,01/10/2021,2 Pk(s),600,0,0.0000(),600,1200
Shrimps,171,CO0224,11872,01/10/2021,1.25 Kg,3000,0,0.0000(),3000,3750
Old layers,179,CO0224,11872,01/10/2021,2 Pc(s),2200,0,0.0000(),2200,4400
Ponmo,175,CO0001,11877,01/10/2021,1 Pk(s),500,0,0.0000(),500,500
Chicken Orobo,157,CO0428,11873,01/10/2021,1 Kg,1600,0,0.0000(),1600,1600
Sausage,170,CO0327,11874,01/10/2021,1 Pk(s),600,0,0.0000(),600,600
Nigerian Soft chicken,156,CO0095,11875,01/10/2021,1 Kg,1600,0,0.0000(),1600,1600
Turkey,160,CO0095,11875,01/10/2021,1 Kg,2000,0,0.0000(),2000,2000
Sausage,170,CO0095,11875,01/10/2021,1 Pk(s),600,0,0.0000(),600,600
Turkey,160,CO0378,11876,01/10/2021,2 Kg,2000,0,0.0000(),2000,4000
Liver,228,CO0224,11872,01/10/2021,1 Pk(s),1000,0,0.0000(),1000,1000
Tilapia,163,CO0378,11876,01/10/2021,2.6 Kg,1500,0,0.0000(),1500,3900
Turkey,160,CO0001,11902,01/11/2021,1.5 Kg,2000,0,0.0000(),2000,3000
Ofada Rice,177,CO0001,11903,01/11/2021,1 Kg,1000,0,0.0000(),1000,1000
Sausage,170,CO0001,11904,01/11/2021,2 Pk(s),600,0,0.0000(),600,1200
Ponmo,175,CO0001,11904,01/11/2021,2 Pk(s),500,0,0.0000(),500,1000
Chicken Orobo,157,CO0064,11905,01/11/2021,2 Kg,1600,0,0.0000(),1600,3200
Nigerian Soft chicken,156,CO0005,11906,01/11/2021,3 Kg,1600,0,0.0000(),1600,4800
Turkey,160,CO1150,11907,01/11/2021,1 Kg,2000,0,0.0000(),2000,2000
Chicken Orobo,157,CO0314,11910,01/11/2021,2 Kg,1600,0,0.0000(),1600,3200
Turkey,160,CO0602,11909,01/11/2021,4 Kg,2000,0,0.0000(),2000,8000
Ponmo,175,CO0602,11909,01/11/2021,4 Pk(s),500,0,0.0000(),500,2000
Turkey,160,CO0770,11901,01/11/2021,1 Kg,2000,0,0.0000(),2000,2000
Croaker,165,CO0314,11910,01/11/2021,1 Kg,1300,0,0.0000(),1300,1300
Tilapia,163,CO0001,11911,01/11/2021,3.65 Kg,1500,0,0.0000(),1500,5475
Egg,176,CO0001,11911,01/11/2021,1 Crt,1300,0,0.0000(),1300,1300
Chicken - Normal Laps,159,CO1131,11908,01/11/2021,1 Kg,1600,0,0.0000(),1600,1600
Croaker,165,CO0005,11900,01/11/2021,2 Kg,1300,0,0.0000(),1300,2600
Nigerian Soft chicken,156,CO0005,11900,01/11/2021,3.2 Kg,1600,0,0.0000(),1600,5120
Cow Beef/Kg,232,CO0036,11899,01/11/2021,1 Kg,2500,0,0.0000(),2500,2500
Titus,161,CO0374,11889,01/11/2021,1.6 Kg,1200,0,0.0000(),1200,1920
Tilapia,163,CO0374,11889,01/11/2021,1.5 Kg,1500,0,0.0000(),1500,2250
